X,Y,OBJECTID,index_,Name,source_facility_type,odhf_facility_type,provider,unit,Street,CSDname,Prov,postal_code,CSDuid,Pruid,latitude,longitude,LocationSource
-104.59284,50.443974,1,8842,Rawlco Centre Hostel,accomodations for parents of babies in nicu,,Saskatchewan Health Authorities,,1440 14 Avenue,Regina,SK,,4706027,47,50.443974,-104.59284,Provided
-63.7729439999999,46.4173750000001,2,6155,Prince County Hospital,acute care hospital,Hospitals,Province of Prince Edward Island,,65 Roy Boates Avenue,Summerside,PE,C1N2A9,1103025,11,46.417375,-63.772944,Provided
-63.100222,46.2553580000001,3,6159,Queen Elizabeth Hospital,acute care hospital,Hospitals,Province of Prince Edward Island,,60 Riverside Drive,Charlottetown,PE,C1A8T5,1102075,11,46.255358,-63.100222,Provided
-108.481251,50.0902970000001,4,8661,Gull Lake Special Care Centre,"acute, longterm",Nursing and residential care facilities,Saskatchewan Health Authorities,,751 Grey Street,Gull Lake,SK,S0N1A0,4708011,47,50.090297,-108.481251,Provided
-102.263573,53.9561790000001,5,8592,Cumberland House Addiction Services,addiction services,Nursing and residential care facilities,Saskatchewan Health Authorities,, ,Cumberland House,SK,S0E0S0,4718005,47,53.956179,-102.263573,Provided
-80.27441232,43.1518442600001,6,2711,Brant County Health Unit,aids bureau,Ambulatory health care services,Province of Ontario,,194 Terrace Hill Street,Brantford,ON,N3R1G7,3529006,35,43.15184426,-80.27441232,Provided
-79.78458289,43.35405261,7,3757,Halton Region Health Department,aids bureau,Ambulatory health care services,Province of Ontario,,3350 Fairview Street,Burlington,ON,L7N3L5,3524002,35,43.35405261,-79.78458289,Provided
-79.3959827899999,43.7068503900001,8,3907,Hospice Toronto,aids bureau,Ambulatory health care services,Province of Ontario,,55 Eglinton Avenue E,Toronto,ON,M4P1G8,3520005,35,43.70685039,-79.39598279,Provided
-81.25403822,42.98145508,9,4387,Middlesex-London Health Unit,aids bureau,Ambulatory health care services,Province of Ontario,,50 King Street,London,ON,N6A5L7,3539036,35,42.98145508,-81.25403822,Provided
-79.23212199,43.16930461,10,4498,Niagara Region Public Health Department,aids bureau,Ambulatory health care services,Province of Ontario,,277 Welland Avenue,St. Catharines,ON,L2R2P7,3526053,35,43.16930461,-79.23212199,Provided
-94.4899852,49.7677859400001,11,4605,Northwestern Health Unit,aids bureau,Ambulatory health care services,Province of Ontario,,210 First Street S,Kenora,ON,P9N2K4,3560010,35,49.76778594,-94.4899852,Provided
-75.69009514,45.4305239600001,12,4680,Ottawa Public Health,aids bureau,Ambulatory health care services,Province of Ontario,,179 Clarence Street,Ottawa,ON,K1N5P7,3506008,35,45.43052396,-75.69009514,Provided
-81.32867053,48.4725012700001,13,4805,Porcupine Health Unit,aids bureau,Ambulatory health care services,Province of Ontario,,169 Pine Street S,Timmins,ON,P4N8B7,3556027,35,48.47250127,-81.32867053,Provided
-79.23275439,43.1633663100001,14,4814,Positive Living Niagara,aids bureau,Ambulatory health care services,Province of Ontario,,120 Queenston Street,St. Catharines,ON,L2R2Z3,3526053,35,43.16336631,-79.23275439,Provided
-75.6835175299999,45.4293129600001,15,5115,Sandy Hill Community Health Centre,aids bureau,Ambulatory health care services,Province of Ontario,,221 Nelson Street,Ottawa,ON,K1N1C7,3506008,35,45.42931296,-75.68351753,Provided
-79.6864337499999,44.4107627000001,16,5275,Simcoe Muskoka District Health Unit,aids bureau,Ambulatory health care services,Province of Ontario,,15 Sperling Drive,Barrie,ON,L4M6K9,3543042,35,44.4107627,-79.68643375,Provided
-75.67505383,45.3879918500001,17,5333,South-East Ottawa Community Health Centre,aids bureau,Ambulatory health care services,Province of Ontario,,1355 Bank Street,Ottawa,ON,K1H8K7,3506008,35,45.38799185,-75.67505383,Provided
-80.9984475799999,46.46622418,18,5500,Sudbury And District Health Unit,aids bureau,Ambulatory health care services,Province of Ontario,,1300 Paris Street,Greater Sudbury / Grand Sudbury,ON,P3E3A3,3553005,35,46.46622418,-80.99844758,Provided
-89.25885787,48.40058036,19,5742,Thunder Bay District Health Unit,aids bureau,Ambulatory health care services,Province of Ontario,,999 Balmoral Street,Thunder Bay,ON,P7B6E7,3558004,35,48.40058036,-89.25885787,Provided
-79.27812675,43.703961,20,5955,Warden Woods Community Centre,aids bureau,Ambulatory health care services,Province of Ontario,,74 Firvalley Court,Toronto,ON,M1L1N9,3520005,35,43.703961,-79.27812675,Provided
-79.8729744,43.2498771900001,21,5978,Wayside House Of Hamilton,aids bureau,Ambulatory health care services,Province of Ontario,,15 Charlton Avenue W,Hamilton,ON,L8P2B8,3525005,35,43.24987719,-79.8729744,Provided
-80.2337469399999,43.52488982,22,6000,Wellington-Dufferin-Guelph Health Unit,aids bureau,Ambulatory health care services,Province of Ontario,,160 Chancellors Way,Guelph,ON,N1G0E1,3523008,35,43.52488982,-80.23374694,Provided
-106.580685,52.3204860000001,23,8952,Warman Mennonite Special Care Home,assisted living,Nursing and residential care facilities,Saskatchewan Health Authorities,,201 Centennial Blvd,Warman,SK,S0K0A1,4711068,47,52.320486,-106.580685,Provided
-113.5310786,53.5182625,24,95,Cross Cancer Institute,cancer,Hospitals,Public Health Agency of Canada,,11560 University Ave,Edmonton,AB,T6G1Z2,4811061,48,53.5182625,-113.5310786,Provided
-114.133258,51.063131,25,301,Tom Baker Cancer Centre,cancer,Hospitals,Public Health Agency of Canada,,1331 29 St Nw,Calgary,AB,T2N4N2,4806016,48,51.063131,-114.133258,Provided
-122.312854,49.0378720000001,26,366,Abbotsford Regional Hospital And Cancer Centre,cancer,Hospitals,Public Health Agency of Canada,,32900 Marshall Rd,Abbotsford,BC,V2S0C2,5909052,59,49.037872,-122.312854,Provided
-79.378057,43.7206610000001,27,4629,Odette Cancer Centre - Sunnybrook Health Sciences Centre,cancer,Hospitals,Public Health Agency of Canada,,2075 Bayview Ave,Toronto,ON,M4N3M5,3520005,35,43.720661,-79.378057,Provided
-78.8703454,43.9066084,28,4880,R. S. Mclaughlin Durham Regional Cancer Centre,cancer,Hospitals,Public Health Agency of Canada,,1 Hospital Ct,Oshawa,ON,L1G2B9,3518013,35,43.9066084,-78.8703454,Provided
-79.3905974,43.6580743000001,29,5849,University Health Network - Princess Margaret Hospital,cancer,Hospitals,Public Health Agency of Canada,,610 University Ave,Toronto,ON,M5G2M9,3520005,35,43.6580743,-79.3905974,Provided
-63.100222,46.2553580000001,30,6153,Pei Cancer Treatment Centre,cancer treatment center,Hospitals,Province of Prince Edward Island,,60 Riverside Drive,Charlottetown,PE,C1A8T5,1102075,11,46.255358,-63.100222,Provided
-63.7729439999999,46.4173750000001,31,6156,Prince County Hospital Satellite Clinic,cancer treatment center,Hospitals,Province of Prince Edward Island,,65 Roy Boates Avenue,Summerside,PE,C1N2A9,1103025,11,46.417375,-63.772944,Provided
-113.522727,53.5201910000001,32,188,Mazankowski Alberta Heart Institute,cardiology,Hospitals,Public Health Agency of Canada,,11220 83 Ave Nw,Edmonton,AB,T6G2B7,4811061,48,53.520191,-113.522727,Provided
-75.7206815,45.3941611000001,33,5696,The University Of Ottawa Heart Institute,cardiology,Hospitals,Public Health Agency of Canada,,40 Ruskin St,Ottawa,ON,K1Y4W7,3506008,35,45.3941611,-75.7206815,Provided
-75.739988,45.4252760000001,34,6698,Centre Hospitalier Pierre-Janet,centre hospitalier,Hospitals,Municipality of Gatineau,,20 Rue Pharand,Gatineau,QC,,2481017,24,45.425276,-75.739988,Provided
-75.6767389999999,45.4935170000001,35,7995,Hôpital De Jour Gériatrique,centre hospitalier,Hospitals,Municipality of Gatineau,,455 Montée Paiement,Gatineau,QC,,2481017,24,45.493517,-75.676739,Provided
-108.272761,52.7598780000001,36,8830,Primary Health Centre,"children services, pediatrics, nutrition",Nursing and residential care facilities,Saskatchewan Health Authorities,,11427 Railway Avenue,North Battleford,SK,S9A3G8,4716029,47,52.759878,-108.272761,Provided
-79.69138875,44.3902880000001,37,2601,Barrie Community Health Centre,children's treatment centre,Hospitals,Province of Ontario,,56 Bayfield Street,Barrie,ON,L4M3A5,3543042,35,44.390288,-79.69138875,Provided
-77.3979770999999,44.1603606,38,2630,Belleville And Quinte West Community Health Centre,children's treatment centre,Hospitals,Province of Ontario,,161 Bridge Street W,Belleville,ON,K8P1K2,3512005,35,44.1603606,-77.3979771,Provided
