,Year,Jurisdiction,Health region,Specialty ,Specialty sort,"Physician-to–100,000 population ratio",Number of physicians,Population
92953,2020,Alta.,Alta.,All physicians,1,252,"11,197","4,436,258"
89805,2020,Canada,Canada,All specialists,2,119,"45,376","38,048,738"
89806,2020,Canada,Canada,Family medicine,3,123,"46,797","38,048,738"
89807,2020,Canada,Canada,__General practice,4,44,"16,789","38,048,738"
89808,2020,Canada,Canada,__Emergency family medicine,5,6,"2,247","38,048,738"
89809,2020,Canada,Canada,__Family medicine,6,73,"27,761","38,048,738"
89810,2020,Canada,Canada,Medical specialists,7,91,"34,453","38,048,738"
89811,2020,Canada,Canada,Clinical specialists,8,85,"32,493","38,048,738"
89812,2020,Canada,Canada,_Anesthesiology,9,10,"3,649","38,048,738"
89813,2020,Canada,Canada,_Dermatology,10,2,682,"38,048,738"
89814,2020,Canada,Canada,_Diagnostic radiology,11,8,"2,873","38,048,738"
89815,2020,Canada,Canada,__Neuroradiology,12,0,2,"38,048,738"
89816,2020,Canada,Canada,__Pediatric radiology,13,0,2,"38,048,738"
89817,2020,Canada,Canada,_Emergency medicine,14,3,"1,139","38,048,738"
89818,2020,Canada,Canada,_Internal medicine,15,11,"4,113","38,048,738"
89819,2020,Canada,Canada,__Cardiology,16,4,"1,453","38,048,738"
89820,2020,Canada,Canada,__Clinical immunology and allergy,17,0,147,"38,048,738"
89821,2020,Canada,Canada,__Critical care medicine,19,2,615,"38,048,738"
89822,2020,Canada,Canada,__Endocrinology and metabolism,20,1,525,"38,048,738"
89823,2020,Canada,Canada,__Gastroenterology,21,2,809,"38,048,738"
89824,2020,Canada,Canada,__General internal medicine,22,0,1,"38,048,738"
89825,2020,Canada,Canada,__Geriatric medicine,23,1,327,"38,048,738"
89826,2020,Canada,Canada,__Hematology,24,1,456,"38,048,738"
89827,2020,Canada,Canada,__Infectious diseases,25,1,290,"38,048,738"
89828,2020,Canada,Canada,__Medical oncology,26,2,642,"38,048,738"
89829,2020,Canada,Canada,__Nephrology,27,2,660,"38,048,738"
89830,2020,Canada,Canada,__Occupational medicine,28,0,68,"38,048,738"
89831,2020,Canada,Canada,__Palliative medicine,29,0,1,"38,048,738"
89832,2020,Canada,Canada,__Respirology,30,2,760,"38,048,738"
89833,2020,Canada,Canada,__Rheumatology,31,1,502,"38,048,738"
89834,2020,Canada,Canada,_Medical genetics and genomics,32,0,123,"38,048,738"
89835,2020,Canada,Canada,_Neurology,33,3,"1,172","38,048,738"
89836,2020,Canada,Canada,__Electroencephalography,34,0,48,"38,048,738"
89837,2020,Canada,Canada,_Nuclear medicine,35,1,274,"38,048,738"
89838,2020,Canada,Canada,_Pediatrics,36,8,"3,140","38,048,738"
89839,2020,Canada,Canada,__Adolescent medicine — Pediatrics,37,0,1,"38,048,738"
89840,2020,Canada,Canada,__Cardiology — Pediatrics,38,0,100,"38,048,738"
89841,2020,Canada,Canada,__Child and adolescent psychiatry — Pediatrics,39,0,10,"38,048,738"
89842,2020,Canada,Canada,__Clinical immunology and allergy — Pediatrics,40,0,95,"38,048,738"
89843,2020,Canada,Canada,__Critical care medicine — Pediatrics,42,0,79,"38,048,738"
